student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating
Corey Bryant,41,female,Region VII,Mobile,College,Unemployed,Tablet,12,skill upgrade,,Business Analytics,Business,Intermediate,18,9,11,16/10/2023,Completed,,175.9,9,44,15,108.8,Quiz,98.27,59.62,39.2,-4
Virginia Stout,49,Other,Region V,Mobile,High School,Student,Desktop,6.8,Personal Interest,2,Mobile App Development,Math,Advanced,8,17,,21/06/2022,Completed,11/10/2024,149.9,7,12,9,31.1,exam,93.42,46.64,76.26,3
Travis Davies,35,female,Region VI,Broadband,College,Employed,Tablet,5.4,Skill Upgrade,,Digital Marketing,,Intermediate,21,7,13,09/12/2022,Dropped,20/08/2022,164.2,9,31,9,114.7,Quiz,99.98,84.45,31.18,5
Gabrielle Martinez,50,Male,NCR,Broadband,College,Employed,Mobile,8.3,,6,Machine Learning A-Z,business,Beginner,16,15,15,29/11/2024,Dropped,12/03/2022,179.1,2,480,19,144.6,final exam,63.1,96.25,,3
Thomas Powell,42,Non-binary,NCR,Mobile,College,Unemployed,Laptop,13.8,Skill Upgrade,14,Mobile App Development,IT,Intermediate,25,11,22,13/03/2024,completed,31/08/2023,78.8,26,3,20,37.8,Quiz,89.95,64.17,42.61,4
Angela Gomez,17,non-binary,CARAGA,Limited,College,unemployed,Tablet,12.8,Career Change,11,Cloud Computing Basics,IT,Intermediate,17,8,20,20/01/2023,Completed - No Certificate,18/06/2024,21,25,26,17,137.3,Quiz,32.42,58.97,89.86,3
none,17,Female,,Mobile,college,Employed,Mobile,5.1,Personal Interest,10,Machine Learning A-Z,IT,Intermediate,27,7,12,17/02/2022,Dropped,30/08/2024,96.9,18,-28,18,-128.1,exam,74.54,77.58,38.67,3
Grant Mckee,,male,Region III,Mobile,Graduate,unemployed,Mobile,,Academic Requirement,13,Machine Learning A-Z,IT,Intermediate,20,4,22,13/11/2024,Dropped,11/03/2023,89.2,7,39,21,176.9,Assignment,85.93,38.34,48.42,3
Kaitlin Ashley,26,Male,Region III,Mobile,Graduate,,Laptop,,Career Change,1,Machine Learning A-Z,Science,mid,10,13,21,15/11/2022,Ongoing,07/08/2023,156.8,21,47,1,157.4,Quiz,84.68,88.86,33.81,5
Charles Morris,52,Female,Region IX,wifi,High School,Unemployed,Laptop,5.3,Career change or promotion,,Data Science Fundamentals,Information Technology,Intermediate,12,4,18,25/12/2024,Completed,18/07/2023,167.9,29,41,16,45.1,quiz,43.83,64.5,,4
none,,Male,Metro Manila,Broadband,COLLEGE,Student,N/A,12.9,Academic Requirement,,Business Analytics,Business,Intermediate,23,4,10,28/03/2023,Dropped,15/10/2023,46.9,22,7,24,86.3,quiz,69.01,87.82,34.76,1
Vanessa Edwards,-42,non-binary,Region IV-A,,High School,Student,Laptop,4.2,Career Change,5,UI/UX Design Principles,Arts,Beginner,23,18,22,06/12/2023,Completed,16/11/2023,27.6,11,16,0,169.4,Quiz,45.45,45.66,48.7,4
Daniel Yoder,52,Female,Region III,broadband,Graduate,Employed,N/A,13.5,skill upgrade,10,Cloud Computing Basics,,Intermediate,24,3,22,15/12/2022,Completed,29/03/2022,156.5,23,26,13,139.4,Assignment,99.89,38.21,70.96,4
Lisa Velez,49,M,NCR,Broadband,High School,Employed,Mobile,210,Earn a certificate,9,Data Science Fundamentals,Business,Intermediate,20,4,,,Dropped,15/01/2024,155.4,4,14,30,3361.6,Quiz,75.82,-77.25,33.31,4
Jason Watkins,21,Female,Region VII,Limited,High School,Student,Desktop,19.2,Academic Requirement,13,Data Science Fundamentals,IT,intermediate,19,19,11,09/08/2023,Completed,28/10/2022,10.6,11,4,19,158.1,Assignment,62.46,97.78,98.36,1
Jesus Terrell,52,Female,Region XII,Limited,College,Working professional,Mobile,16.8,Career change or promotion,2,UI/UX Design Principles,Science,Beginner,17,12,14,19/07/2024,Completed,12/06/2023,8690.4,14,,0,,Quiz,51.9,,42.49,4
Austin Harding,28,Male,CAR,Broadband,GRADUATE,Unemployed,Mobile,14.7,Career Change,8,Python for Beginners,Science,Intermediate,30,5,12,05/05/2022,Ongoing,09/07/2022,104.7,20,22,30,74.1,Quiz,87.93,75.23,87.14,1
Angela Benjamin,26,Female,NCR,N/A,Graduate,Working professional,MOBILE,10.7,Personal Interest,2,UI/UX Design Principles,Business,Beginner,6,10,17,24/03/2023,Dropped,07/12/2022,39.8,7,8,15,29.7,quiz,38.13,52.66,99.86,4
Alvin Thomas,47,,Region VII,Mobile,College,Employed,Desktop,11.1,Skill Upgrade,1,Cloud Computing Basics,Math,Beginner,7,3,13,13/10/2024,Completed - No Certificate,12/02/2024,157.1,28,9,30,71.3,Quiz,69.29,89.91,41.27,5
Raymond Williams,22,female,Region IV-A,Broadband,High School,Employed,Desktop,708.1,Skill Upgrade,10,Data Science Fundamentals,Business,Beginner,13,17,23,03/07/2024,Dropped,07/06/2022,21.1,29,15,23,172.3,Quiz,80.65,93.02,,4
Jesus Blanchard,28,female,Region V,Broadband,graduate,Student,mobile,9.6,Career Change,,Business Analytics,business,beginner,7,19,23,25/04/2023,Dropped,10/06/2022,156.7,14,25,24,112.6,Final Exam,39.22,82.43,85.04,4
Donald Lopez,52,,Region XI,Mobile,College,employed,Mobile,19.6,Personal Interest,13,Data Science Fundamentals,IT,Advanced,15,14,19,06/04/2024,Dropped,11/03/2023,169.7,4,,12,120,Quiz,78.85,66.52,73.05,5
Matthew Knapp,16,Female,Region VII,Broadband,High School,Student,Mobile,4.2,Skill Upgrade,8,UI/UX Design Principles,Math,Beginner,15,13,13,01/07/2022,Dropped,17/11/2024,98.1,3,2990,6,147.8,final exam,89.05,86.04,97.44,5
Janet Taylor,23,female,Region VII,Limited,college,Employed,Laptop,18.1,Career Change,4,Cybersecurity Essentials,Math,Intermediate,11,10,5,24/08/2024,Completed,18/10/2024,24.2,,41,6,110.9,Final Exam,69.56,,30.48,1
none,41,Female,Region IV-A,Broadband,College,Working professional,Laptop,16.2,Academic Requirement,9,Web Development Bootcamp,IT,intermediate,18,13,5,15/12/2024,Dropped,04/12/2023,-86.1,22,4,,14.8,Quiz,93.29,61.69,97.09,5
Chad Lee,23,Male,ncr,Limited,Graduate,Employed,Mobile,19.9,Career change or promotion,13,Mobile App Development,Arts,Advanced,10,3,17,14/03/2023,dropped,08/10/2022,119.3,9,30,13,174.4,Quiz,80.74,31.43,38.21,5
Jennifer Lopez,44,Female,Region VI,mobile,College,Working professional,desktop,8.9,Academic Requirement,9,Data Science Fundamentals,Arts,Beginner,7,18,21,,Dropped,20/04/2024,132.7,14,24,1,132,Final Exam,65.69,33.76,73.12,4
Patrick Solomon,2040,Male,Region VII,Mobile,College,Employed,Laptop,1.3,Personal Interest,14,Business Analytics,IT,Intermediate,6,17,9,26/02/2024,Completed - No Certificate,28/02/2023,163.6,10,33,13,99.8,Quiz,56.76,33.11,51.02,1
Amanda Moore,40,Female,NCR,Broadband,High School,Student,desktop,5,career change,2,Digital Marketing,Business,Advanced,14,18,14,29/04/2023,Dropped,09/01/2023,109.4,29,37,24,151.9,Quiz,,78.45,50.41,1
Leslie Wright,48,Prefer not to say,Region VII,Mobile,College,Employed,Tablet,11.5,Career Change,4,Business Analytics,Math,ADVANCED,22,17,15,02/06/2023,Completed,19/08/2023,35.7,25,46,18,54.4,final exam,57.28,50.63,92.1,3
Nathan Hernandez,55,M,Region VII,Mobile,graduate,Student,Laptop,-15.3,Career Change,4,Data Science Fundamentals,IT,Intermediate,22,18,20,01/06/2022,Dropped,01/06/2022,48.2,8,10,13,24.6,quiz,5678.4,37.84,62.48,5
Barbara Thompson,49,Female,Region I,Broadband,Undergraduate,Part-time,phone,11,Career Change,8,UI/UX Design Principles,business,Intermediate,11,19,21,15/10/2022,COMPLETED,24/12/2022,162.2,11,2,6,55,Quiz,4932.5,60.16,,4
Eric Quinn,45,male,NCR,MOBILE,Undergraduate,Working professional,,5.7,Skill Upgrade,6,Mobile App Development,Information Technology,Advanced,20,19,22,21/04/2023,Ongoing,19/02/2022,64.5,21,23,26,135.4,Quiz,91.05,31.86,,132
Kimberly Bennett,40,Other,Region IV-A,Broadband,College,STUDENT,Mobile,15.9,Skill Upgrade,7,Python for Beginners,business,Inter,21,5,15,09/12/2022,Completed,03/02/2022,119.6,27,8,20,75.2,Assignment,58.92,70.52,68.25,3
Gregory Freeman,38,Female,Region I,Limited,Graduate,Employed,Laptop,6.4,Personal Interest,84,Machine Learning A-Z,,Intermediate,11,13,16,04/11/2022,Completed,09/06/2022,174.4,,8,3,46.7,Assignment,63.26,85.75,61.86,3
Jasmine Miller,47,Female,,Mobile,Graduate,STUDENT,smartphone,13.6,Skill Upgrade,7,Python for Beginners,Math,Intermediate,14,3,11,03/05/2023,Completed,23/10/2023,86.6,17,20,6,50.4,assignment,49.87,63.97,76.16,4
Kimberly Howard,17,Female,Region III,BROADBAND,Graduate,Unemployed,Desktop,19.6,Skill Upgrade,8,UI/UX Design Principles,Arts,Intermediate,29,8,16,30/12/2024,Completed,18/01/2023,22.9,29,,1066,54.9,quiz,33.73,83.46,49.91,4
Nicholas Anderson,45,male,Region VII,Mobile,college,Employed,Laptop,12.9,Academic Requirement,11,Cloud Computing Basics,Business,Intermediate,24,4,13,26/11/2024,Dropped,,81.2,2,13,,79.2,Quiz,38.43,50.4,96.6,3
Rebecca Weeks,54,Female,CARAGA,Broadband,High School,student,Laptop,9.3,Personal Interest,6,Business Analytics,IT,Advanced,5,8,18,19/06/2022,Completed,23/03/2022,74.5,4,44,9,169.5,ASSIGNMENT,75.57,52.82,57.09,3
Cole Garrison,23,female,,Mobile,College,Working professional,Mobile,12.2,Skill Upgrade,0,Business Analytics,Arts,Intermediate,15,9,19,12/07/2024,Ongoing,02/06/2023,133.5,1,39,18,1117.6,Quiz,71.89,3511.62,96.95,3
James Valdez,36,Female,Region V,Broadband,College,Working professional,Phone,16.7,Career Change,15,Mobile App Development,IT,Advanced,520,15,4,30/11/2024,Ongoing,11/11/2024,84.7,1,0,18,53.1,Assignment,65.78,,41.98,
Laura Mckinney,18,Male,,Broadband,Highschool,Student,laptop,8.2,Career Change,5,Cloud Computing Basics,IT,Intermediate,18,15,16,21/04/2024,Completed,20/10/2022,113.1,15,14,28,155.4,Assignment,40.01,88.24,76.2,4
Sandra Lutz,36,Male,Region XI,,Highschool,student,Tablet,13.7,Academic Requirement,6,Web Development Bootcamp,business,Beginner,25,13,21,,Completed,14/12/2023,56.8,22,20,9,6430,Final Exam,68.89,81.66,61.41,5
William Miller,44,Female,Region III,WiFi,College,Unemployed,Laptop,,Career Change,7,Python for Beginners,Arts,Beginner,12,7,10,12/12/2023,Ongoing,22/07/2023,86.2,1,2,23,,Final Exam,83.44,60.29,84.54,2
Samuel Walsh,49,Non-binary,Region XI,mobile,N/A,Employed,Desktop,13.8,Career Change,236,Cloud Computing Basics,Arts,Beginner,10,20,7,20/10/2024,Dropped,18/10/2023,115.7,13,49,12,94.6,Quiz,67.65,41.98,66.99,5
Shane Hayes,17,Female,CAR,Broadband,College,,Laptop,8.6,Career Change,13,Mobile App Development,Information Technology,Beginner,18,504,8,15/10/2024,Completed,18/02/2024,35.6,27,39,23,50.2,project,49.84,84.09,89.02,5
Daniel Dominguez,,Non-binary,Region IV-A,Mobile,High School,Working professional,Laptop,18.2,Earn a certificate,11,Python for Beginners,IT,Advanced,14,6,20,23/01/2022,ongoing,30/06/2024,178.2,,26,17,148.8,final exam,64.02,38.99,83.75,2
Jessica Ewing,45,Male,Region II,BROADBAND,College,Employed,Mobile,20,Skill Upgrade,13,Cloud Computing Basics,Business,advanced,11,3,10,17/12/2024,Dropped,08/09/2022,-88.2,22,16,0,173.3,Quiz,,65.51,79.69,2
KATRINA HUNT,26,non-binary,Region X,BROADBAND,High School,Unemployed,Mobile,4.6,Academic Requirement,9,Python for Beginners,Science,Beginner,15,9,20,08/02/2024,Completed,23/12/2024,124.6,14,13,,1674.4,Final Exam,,88.62,,5
Shawn Watson,32,male,Region VI,Mobile,High School,Unemployed,Mobile,15.8,none,2,Mobile App Development,Arts,expert,21,17,12,15/03/2022,Ongoing,28/05/2024,178.1,21,11,3,48.5,Quiz,61.5,80.73,78.86,1
Heidi Mahoney,48,Male,,WiFi,High School,Employed,phone,6.9,N/A,4,Web Development Bootcamp,Science,Beginner,16,6,8,27/01/2022,Completed,16/09/2023,,17,2156,2,60.5,Quiz,,76.82,30.88,1
Patrick Brady,50,Female,Region IX,fiber,Graduate,Employed,Desktop,7.2,Personal Interest,15,UI/UX Design Principles,IT,Intermediate,6,16,9,13/06/2024,Completed,20/10/2022,41.4,25,15,29,68.5,Quiz,87.95,92.53,32.63,3
Robin Howell,,Male,Region IV-A,Broadband,College,Employed,Laptop,13.8,Personal Interest,0,Python for Beginners,Arts,Intermediate,9,5,22,07/08/2023,Completed,12/09/2022,88.6,24,40,29,41.3,Assignment,65.88,52.81,48.02,5
William Higgins,31,Female,Region VII,BROADBAND,College,Employed,LAPTOP,19.1,Career Change,11,Data Science Fundamentals,Business,Advanced,17,9,-11,01/03/2022,Ongoing,20/08/2024,37.6,18,3,,162.2,Assignment,39.87,73.38,96,4
Paul Gilbert,26,Female,Region XII,Mobile,High School,Employed,Desktop,2.6,Career Change,8,Mobile App Development,Science,Intermediate,17,9,7,05/08/2024,Completed,26/01/2024,28.7,22,10,25,21.2,Assignment,62.91,51.61,58.68,2
Jeremy Washington,39,Non-binary,Region V,Broadband,College,Unemployed,,9.8,Skill Upgrade,6,Business Analytics,Arts,Intermediate,16,10,10,13/06/2023,Completed,05/03/2023,137.2,9,15,6,80.6,Quiz,60.39,70,82.69,5
Gary Wilson,19,Female,Region VII,Limited,COLLEGE,Employed,Laptop,18.4,N/A,8,Mobile App Development,business,Advanced,9,10,4,05/12/2023,Completed,01/12/2024,63.4,9,40,22,177.7,Final Exam,54.72,99.81,88.48,4
Anthony Smith,16,Female,BARMM,Limited,high school,Unemployed,Desktop,7,career change,13,Python for Beginners,IT,Intermediate,12,17,19,19/02/2023,Dropped,01/01/2023,63.3,9,15,,137.5,Assignment,43.05,32.07,73.27,4
Carrie Horn,27,Male,Region XI,wifi,College,Employed,Laptop,,,7,Web Development Bootcamp,Science,Beginner,27,7,22,06/03/2022,completed,13/08/2023,106.1,30,28,3,45.2,Assignment,42.63,85.6,57.28,225
Jose Mack,43,Prefer not to say,Metro Manila,Limited,High School,Working professional,Desktop,4.9,Skill Upgrade,4,UI/UX Design Principles,IT,Beginner,12,19,21,08/07/2023,Completed,02/07/2024,58.1,3,29,,30.4,Assignment,63.68,52.22,54.13,
Timothy Price,25,F,Region III,Broadband,College,Unemployed,Laptop,7.8,Career Change,7,Digital Marketing,Math,Advanced,14,9,24,23/04/2024,Dropped,13/08/2022,85.6,14,-14,16,36.6,Assignment,40.79,67.35,57.23,5
Christopher Montes,33,Female,Region VI,Mobile,Graduate,Freelancer,desktop,16.4,Skill Upgrade,10,Mobile App Development,IT,Intermediate,21,,18,25/01/2023,Completed,05/06/2023,104.7,13,3,1,132.4,Assignment,99.63,46.77,54.02,4
Tommy Gutierrez,17,F,Region VI,Mobile,Graduate,Unemployed,Mobile,17.6,Personal Interest,13,Digital Marketing,Science,Advanced,11,13,6,23/11/2024,Completed,09/11/2022,169.6,7,39,0,169.3,Assignment,68.39,48.47,80.89,2
Kylie Daniel,45,Male,N/A,Mobile,Graduate,Student,Laptop,12.7,Career Change,,Mobile App Development,Math,Intermediate,27,3,23,18/02/2022,Completed,28/02/2022,84.1,9,41,10,150.9,Assignment,60.56,52.93,58.3,5
Cynthia Li,39,Female,Region VIII,,N/A,EMPLOYED,desktop,12.5,Career Change,14,Cloud Computing Basics,IT,beginner,14,4,20,,Completed,,60,28,43,7,30.8,Quiz,48.03,65.18,80,5
Ashley Wall,47,Female,Region IV-A,Broadband,High School,Employed,laptop,8.7,Academic Requirement,15,Digital Marketing,Science,Beginner,14,1700,,21/12/2023,Ongoing,06/08/2023,46.1,3,48,2,93.7,assignment,33.54,74.1,73.98,5
Kimberly Brown,22,Male,Region IV-A,mobile,college,Student - full time,Laptop,3.6,Academic Requirement,0,Business Analytics,Science,Intermediate,11,14,10,25/04/2024,Completed,20/02/2022,115.9,9,36,8,49.8,Final Exam,48.84,45.32,80.49,5
Anthony Macdonald,40,Male,Region I,Mobile,College,Freelancer,tablet,11.2,Career Change,7,Python for Beginners,IT,Beginner,10,3,14,18/02/2022,dropped,17/10/2023,30.2,4,50,26,162.1,Final Exam,62.17,,34.28,5
Kimberly Thomas,20,Male,NCR,Mobile,Graduate,Employed,Mobile,16.7,Academic Requirement,,Python for Beginners,DATA SCIENCE,Beginner,8,3,21,28/07/2024,Ongoing,08/05/2023,107.2,5,11,,84,Final Exam,56.04,45.88,94.53,5
none,50,Other,BARMM,Mobile,College,Freelancer,Mobile,18.1,Personal Interest,13,UI/UX Design Principles,Information Technology,Beginner,23,14,5,08/07/2024,Dropped,27/01/2024,168.6,29,8,17,179.5,Assignment,69.57,57.82,89.43,1
Matthew King,27,Male,Region XI,Limited,HIGH SCHOOL,Student,Laptop,1309.8,Skill Upgrade,10,Cybersecurity Essentials,Business,Intermediate,12,15,4,06/05/2023,Completed,26/02/2023,166.5,18,35,24,132.4,Quiz,58.7,47.41,78.62,1
Jamie King,44,Male,Region XI,Mobile,High School,Student,mobile,4.2,Skill Upgrade,11,UI/UX Design Principles,Arts,Beginner,10,,21,06/10/2024,COMPLETED,17/08/2023,144,14,5,19,113.7,Final Exam,86.59,54.97,96.63,2
Kimberly Franklin,18,Female,NCR,mobile,College,Student,Laptop,19.1,Academic Requirement,2,Mobile App Development,business,Intermediate,21,20,5,09/08/2024,Ongoing,10/06/2022,15.9,12,48,9,103.7,Assignment,53.03,73.22,4517,1
Gary Thompson,22,Male,Region VII,Broadband,HS,Unemployed,Laptop,13.5,none,0,Business Analytics,Business,expert,21,13,21,12/08/2022,Completed,09/12/2022,109.4,17,9,6,90.7,Assignment,96.46,74.57,56.96,1
Laura Espinoza,,Male,Region VII,Mobile,Graduate,employed,Laptop,1.5,Academic Requirement,5,Cybersecurity Essentials,,intermediate,23,,7,06/01/2024,Completed,27/03/2024,66.3,,22,2,120.7,Assignment,78.7,63.49,7543.71,3
Susan Estrada,50,Male,Region IX,Mobile,High School,Unemployed,Mobile,11.1,skill upgrade,10,Web Development Bootcamp,IT,Intermediate,27,13,17,13/04/2023,Ongoing,20/04/2024,19.3,11,23,20,77.3,assignment,52.07,63.69,95.94,5
Veronica Mcdonald,2226,Male,Region VI,Broadband,College,Employed,Desktop,4.7,personal interest,3,Digital Marketing,IT,Intermediate,20,4,11,11/06/2023,completed,30/10/2023,22.6,3,42,2,29.2,Assignment,51.79,65.89,74.45,155
Brooke Stokes,28,FEMALE,Region VII,Broadband,High School,Employed,Laptop,6.8,Personal Interest,10,Data Science Fundamentals,Business,ADVANCED,22,4,14,03/07/2022,Completed,05/04/2023,179,768,3,27,161.6,Quiz,33.54,88.91,49.8,4
Justin Gray,22,Male,Region II,Limited,High School,Unemployed,Laptop,7.8,Academic Requirement,13,Machine Learning A-Z,Science,Intermediate,8,20,11,05/05/2023,Dropped,07/05/2022,61,3,43,12,171.2,Final Exam,,51.22,,3
Sherry Davis,31,Male,Region II,Broadband,college,Student,Tablet,4.7,Academic Requirement,9,Cloud Computing Basics,Business,Intermediate,22,5,19,14/09/2023,Completed,09/06/2024,98.7,3,20,17,173.6,Quiz,31.56,73.87,45.47,4
Virginia Smith,37,female,NCR,Limited,College,Student,Mobile,14.3,Skill Upgrade,2,Data Science Fundamentals,Business,Beginner,27,4,5,05/05/2022,completed,16/03/2022,148.5,24,3,13,156,final exam,52.59,45.51,84.42,485
Heather Irwin,54,Female,Region VI,BROADBAND,Graduate,Employed,mobile,11.7,Career Change,2,Web Development Bootcamp,DATA SCIENCE,Intermediate,,4,16,11/02/2024,Completed,20/03/2022,145.8,28,43,16,60.5,Quiz,78.02,36.51,57.37,3
Randall Larsen,48,Female,Region V,Broadband,High School,Student,Tablet,4.4,Personal Interest,10,Cloud Computing Basics,IT,Beginner,6,10,5,14/04/2024,Ongoing,18/10/2022,73.3,9,47,8,-84.6,Final Exam,33.64,57.92,95.73,
Laura Braun,25,male,Region XI,Limited,High School,Unemployed,Laptop,17.3,career change,8,Digital Marketing,IT,Intermediate,7,18,18,30/01/2024,Completed,17/11/2022,52.1,10,39,10,162.8,Quiz,60.51,91.74,77.52,1
James Bailey,25,Female,NCR,Mobile,College,Employed,Laptop,17.5,Personal Interest,9,Mobile App Development,IT,Intermediate,7,17,16,,In-progress,25/01/2022,128.1,20,32,28,164,Assignment,59.58,74.71,45.18,2
Daniel Crawford,17,Female,Region VI,Broadband,Graduate,Working professional,Tablet,19.6,Career Change,9,Cloud Computing Basics,Business,Advanced,6,5,12,07/04/2022,Completed,21/11/2024,151.6,28,42,8,18.7,Assignment,8085,64.53,76.83,2
Jose Esparza,34,male,Region V,Broadband,Highschool,Employed,Desktop,19.6,Academic Requirement,,Data Science Fundamentals,DATA SCIENCE,Beginner,7,10,14,12/03/2022,Dropped,03/07/2024,37.3,29,9,7,38.9,Quiz,92.08,77.57,62.86,5
John Hill,27,Prefer not to say,Region X,Mobile,College,Student - full time,Laptop,8.1,Academic Requirement,2,Cybersecurity Essentials,Math,Beginner,22,20,9,15/11/2023,Dropped,17/07/2022,138.2,27,43,11,79.6,Assignment,32.08,69.03,67.47,1
Tracy Parker,39,Male,Region XI,N/A,College,Employed,Laptop,15.4,Career Change,3,Cloud Computing Basics,Science,basic,9,9,21,27/10/2024,Dropped,09/10/2024,55.5,15,34,3,28.7,Quiz,85.93,57.3,77.78,1
Theresa White,19,Male,Region XI,broadband,College,Student,Mobile,10.4,Academic Requirement,3,Web Development Bootcamp,science,Beginner,6,11,22,28/01/2024,Completed,01/02/2022,155.6,22,12,28,57.9,Assignment,35.76,44.44,63.64,294
Brian Crawford,51,female,Region VII,Limited,College,Student,Laptop,7.1,Skill Upgrade,2,Data Science Fundamentals,Science,beginner,29,11,8,26/09/2022,Completed,17/06/2022,41.9,2,22,20,99.2,Assignment,87.53,64.24,72.75,4
April Rose,42,non-binary,,Mobile,college,unemployed,Mobile,1008,Skill Upgrade,3,Data Science Fundamentals,Business,intermediate,26,,13,09/08/2022,Dropped,07/04/2022,88.6,18,48,0,29.9,Assignment,-89.36,36.93,6136.88,2
Jose Williams,46,Male,Region VII,Mobile,College,Unemployed,Mobile,7.5,Personal Interest,12,Web Development Bootcamp,,Intermediate,8,9,16,26/01/2024,ongoing,03/12/2022,15.8,8,48,25,-85.2,Final Exam,62.57,97.03,36.94,1
Charles Hancock,44,Male,NCR,Mobile,High School,Student,Mobile,2.8,Career Change,-12,Business Analytics,Science,Intermediate,9,13,6,31/01/2024,Ongoing,29/09/2022,122.9,3,40,0,36.4,Quiz,86.07,68.63,74.38,4
Sylvia Ramos,18,non-binary,ncr,Broadband,College,Student,mobile,5,Academic Requirement,,Web Development Bootcamp,Business,Intermediate,6,20,12,12/02/2022,Completed,26/08/2024,,12,22,22,135,Final Exam,40.08,38.54,50.57,3
Jeffery Sweeney,45,N/A,NCR,MOBILE,Graduate,Unemployed,mobile,4.7,Personal Interest,0,UI/UX Design Principles,Science,Beginner,11,6,21,22/03/2023,Dropped,26/01/2022,83.9,12,20,12,81.6,Quiz,84.61,3254.4,69.63,2
Julie Rodriguez,32,Male,Metro Manila,Mobile,Graduate,Unemployed,Laptop,9.3,Skill Upgrade,2,Data Science Fundamentals,IT,basic,6,7,5,23/01/2023,Dropped,24/02/2024,95.9,8,19,6,96.8,quiz,87.1,60.55,49.94,2
Jeffrey Green,48,Male,Region IX,broadband,Graduate,Student,Desktop,6.3,Personal Interest,7,Web Development Bootcamp,Science,Intermediate,21,19,15,12/02/2023,Ongoing,25/07/2022,11.1,28,-36,30,49.3,Quiz,,64.63,51.53,1
,37,Male,Region XI,WiFi,College,Student,LAPTOP,6.2,Personal Interest,13,UI/UX Design Principles,IT,intermediate,13,14,23,06/09/2022,In-progress,25/12/2022,124.3,6,23,29,66.3,Assignment,52.2,86.14,56.5,3
Michael Stout,33,Prefer not to say,NCR,Broadband,College,Student,Mobile,2.3,Skill Upgrade,13,Mobile App Development,IT,Intermediate,13,20,11,20/04/2023,Completed,30/07/2022,52.3,29,37,21,14.3,Final Exam,98.66,68.19,90.34,3
Kaitlyn Gilbert,20,male,NCR,Limited,College,Employed,smartphone,18,Personal Interest,9,Cybersecurity Essentials,IT,Advanced,7,5,11,31/03/2022,Completed,29/03/2023,,7,26,7,60.9,Final Exam,48.46,61.86,49.42,4
Michael Hall,30,Female,Region III,BROADBAND,College,Student,Desktop,11.2,Skill Upgrade,38,Cybersecurity Essentials,IT,Advanced,21,17,9,20/01/2022,Completed,25/10/2024,75,24,8,13,24.4,Assignment,61.72,37.36,82.26,3
Michael Kramer,42,Male,Region VIII,Limited,Graduate,Employed,tablet,5.4,Skill Upgrade,6,Machine Learning A-Z,Business,,13,4,,13/08/2023,,11/05/2022,86.8,24,17,27,120.3,Assignment,3656.25,65.82,73.91,182
,38,Female,Region VI,BROADBAND,college,Employed,Mobile,8.4,Skill Upgrade,11,UI/UX Design Principles,Arts,Beginner,20,9,825,30/12/2023,Ongoing,07/03/2022,159.5,12,50,16,71.4,ASSIGNMENT,31.76,,66.91,2
Vernon Davis,30,Male,Region I,Mobile,College,Freelancer,Laptop,15.5,Career Change,5,Python for Beginners,it,Intermediate,19,11,7,13/09/2022,In-progress,18/09/2022,169.8,2,46,9,168.5,Quiz,42.16,49.47,73.14,2
Emily Carrillo,47,Male,Region II,broadband,Graduate,Employed,Desktop,15.4,Academic Requirement,11,Mobile App Development,science,INTERMEDIATE,19,17,18,03/03/2024,Completed,25/10/2023,1689.6,11,9,15,90.9,Quiz,31.77,64.64,33.87,4
Audrey Middleton,43,Female,Region V,Broadband,Graduate,Employed,Laptop,4.6,Skill Upgrade,11,Machine Learning A-Z,IT,Advanced,7,6,14,16/12/2024,Dropped,04/09/2022,154,27,5,17,50.1,quiz,56.7,92.3,69.6,2
Carolyn Bryant,35,Other,Region X,Broadband,,Student,Laptop,19.3,Career change or promotion,5,Python for Beginners,Science,Intermediate,13,14,4,22/04/2023,Completed,10/08/2022,146.4,24,49,25,89,Assignment,33.9,96.36,,1
Patricia Walsh,51,Male,Region XI,Mobile,Highschool,Employed,Laptop,10.1,Academic Requirement,10,Web Development Bootcamp,IT,Advanced,30,8,18,02/09/2022,Completed,11/10/2024,42.8,19,2,21,29.4,Assignment,77.6,43.3,42.73,2
Joseph Parker,54,Male,Region IX,Limited,Graduate,unemployed,Mobile,5.5,Skill Upgrade,1,Mobile App Development,IT,Advanced,19,13,22,04/12/2024,Ongoing,04/09/2022,10.9,28,32,11,37.4,Final Exam,49.4,68.49,99.82,5
Joann Aguirre,21,Female,Region III,Broadband,college,Freelancer,Laptop,18.1,personal interest,11,Python for Beginners,IT,Beginner,23,450,22,25/10/2023,Dropped,07/05/2024,114.3,7,31,5,2329.6,Quiz,76.43,86.35,40.55,3
Jacqueline Dean,48,Other,NCR,Mobile,Highschool,Employed,Laptop,1,Personal Interest,2,Digital Marketing,Math,Intermediate,29,5,18,14/03/2023,Dropped,17/12/2024,,21,21,25,57.3,Assignment,43.55,35.15,83.24,5
Ashley Nelson,33,female,Region XI,Limited,Graduate,Employed,Laptop,,Skill Upgrade,1,Digital Marketing,science,Intermediate,13,17,12,29/10/2022,Completed,25/05/2023,157.6,2,18,20,33.7,QUIZ,85.01,67.52,41.42,1
